Date,State,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
2021-03-07,AK,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AR,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,CA,49646014,9172498,1730660,9444459,3980518,98894,222513,74171,6354689,18567612,9444459,21633943,18567612
2021-03-07,CO,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,CT,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,DC,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,DE,633424,311489,118013,55204,16091,0,0,0,58282,74345,55204,503875,74345
2021-03-07,FL,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,GA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,GU,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,HI,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,IA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,ID,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,IL,18640190,6066122,1362411,1263482,720684,15305,18976,0,534214,8658996,1263482,8717712,8658996
2021-03-07,IN,3150418,2172766,239719,0,59652,0,0,0,381330,296951,121315,1536679,1492424
2021-03-07,KS,1270547,806291,61246,0,24634,8140,0,0,45244,324992,95804,699286,475457
2021-03-07,KY,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,LA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,ME,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MI,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MN,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MO,4565866,1781880,355094,0,44514,6838,40,192,1602892,774416,81100,2166194,2318572
2021-03-07,MP,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MT,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,NC,0,0,0,0,0,0,0,0,0,0,0,0,0
