Date,Age_Group,Employment_Level
2019-01-01,Yrs_20_24,13567
2019-02-01,Yrs_20_24,13821
2019-03-01,Yrs_20_24,13925
2019-04-01,Yrs_20_24,14114
2019-05-01,Yrs_20_24,14288
2019-06-01,Yrs_20_24,14699
2019-07-01,Yrs_20_24,14787
2019-08-01,Yrs_20_24,14337
2019-09-01,Yrs_20_24,14203
2019-10-01,Yrs_20_24,14337
2019-11-01,Yrs_20_24,14037
2019-12-01,Yrs_20_24,13947
2020-01-01,Yrs_20_24,13795
2020-02-01,Yrs_20_24,14069
2020-03-01,Yrs_20_24,13248
2020-04-01,Yrs_20_24,9951
2020-05-01,Yrs_20_24,10596
2020-06-01,Yrs_20_24,11669
2020-07-01,Yrs_20_24,12154
2020-08-01,Yrs_20_24,12528
2020-09-01,Yrs_20_24,12561
2020-10-01,Yrs_20_24,13225
2020-11-01,Yrs_20_24,13169
2020-12-01,Yrs_20_24,13002
2021-01-01,Yrs_20_24,12856
2021-02-01,Yrs_20_24,13017
2021-03-01,Yrs_20_24,13009
2021-04-01,Yrs_20_24,13018
2021-05-01,Yrs_20_24,13082
2021-06-01,Yrs_20_24,13749
2021-07-01,Yrs_20_24,13865
2021-08-01,Yrs_20_24,13462
2021-09-01,Yrs_20_24,13448
2021-10-01,Yrs_20_24,13800
2021-11-01,Yrs_20_24,13842
2021-12-01,Yrs_20_24,13758
2022-01-01,Yrs_20_24,13376
2022-02-01,Yrs_20_24,13609
2022-03-01,Yrs_20_24,13611
2022-04-01,Yrs_20_24,13532
2022-05-01,Yrs_20_24,13667
2022-06-01,Yrs_20_24,14235
2022-07-01,Yrs_20_24,14435
2022-08-01,Yrs_20_24,13864
2022-09-01,Yrs_20_24,13666
2022-10-01,Yrs_20_24,13849
2019-01-01,Yrs_25_34,35392
2019-02-01,Yrs_25_34,35512
2019-03-01,Yrs_25_34,35686
2019-04-01,Yrs_25_34,35602
2019-05-01,Yrs_25_34,35703
2019-06-01,Yrs_25_34,35699
2019-07-01,Yrs_25_34,35369
2019-08-01,Yrs_25_34,35806
2019-09-01,Yrs_25_34,36073
2019-10-01,Yrs_25_34,36230
2019-11-01,Yrs_25_34,36351
2019-12-01,Yrs_25_34,36263
2020-01-01,Yrs_25_34,35915
2020-02-01,Yrs_25_34,36038
2020-03-01,Yrs_25_34,35429
2020-04-01,Yrs_25_34,30456
2020-05-01,Yrs_25_34,31356
2020-06-01,Yrs_25_34,32009
2020-07-01,Yrs_25_34,31962
2020-08-01,Yrs_25_34,32765
2020-09-01,Yrs_25_34,33405
2020-10-01,Yrs_25_34,34018
2020-11-01,Yrs_25_34,33767
2020-12-01,Yrs_25_34,33993
2021-01-01,Yrs_25_34,33687
2021-02-01,Yrs_25_34,33966
2021-03-01,Yrs_25_34,34125
2021-04-01,Yrs_25_34,34377
2021-05-01,Yrs_25_34,34470
2021-06-01,Yrs_25_34,34196
2021-07-01,Yrs_25_34,34421
2021-08-01,Yrs_25_34,34575
2021-09-01,Yrs_25_34,34780
2021-10-01,Yrs_25_34,35257
2021-11-01,Yrs_25_34,35622
2021-12-01,Yrs_25_34,35464
2022-01-01,Yrs_25_34,34726
2022-02-01,Yrs_25_34,35052
2022-03-01,Yrs_25_34,35358
2022-04-01,Yrs_25_34,35523
2022-05-01,Yrs_25_34,35609
2022-06-01,Yrs_25_34,35345
2022-07-01,Yrs_25_34,35190
