Name,2019_Median_Household_Income,2020_Median_Household_Income,2021_Median_Household_Income
Alabama,51771,53958,53990
Alaska,77203,79961,78437
Arizona,62027,64652,68967
Arkansas,49020,51146,52577
California,80423,83001,84831
Colorado,77104,77688,82228
Connecticut,78920,79723,83628
Delaware,70348,71335,71636
District of Columbia,90395,91957,91072
Florida,59198,61724,63054
Georgia,61950,62800,66507
Hawaii,83734,86878,85547
Idaho,60830,62603,66318
Illinois,69212,71243,72215
Indiana,57617,60794,62723
Iowa,61807,62362,65645
Kansas,62028,63214,64128
Kentucky,52256,54074,55532
Louisiana,51108,51730,52090
Maine,58824,59145,64823
Maryland,86644,88589,90129
Massachusetts,85700,87288,89577
Michigan,59522,61352,63444
Minnesota,74529,75489,77712
Mississippi,45928,47368,48871
Missouri,57375,58812,61815
Montana,57248,57730,63357
Nebraska,63290,64735,66949
Nevada,63268,64608,66194
New Hampshire,78571,81415,88268
New Jersey,85786,87095,89227
New Mexico,52021,52285,54304
New York,72038,73354,74230
North Carolina,57388,59616,61997
North Dakota,67402,64289,67603
Ohio,58704,60360,62286
Oklahoma,54447,54512,55829
Oregon,66955,67832,71441
Pennsylvania,63455,64898,68931
Rhode Island,70383,73919,73324
South Carolina,56360,57216,59447
South Dakota,60414,61149,66843
Tennessee,56047,56962,59698
Texas,64044,66048,66959
Utah,75705,77785,79449
Vermont,63293,67717,72415
Virginia,76471,79154,80926
Washington,78674,80319,84155
West Virginia,48659,49202,51122
Wisconsin,64177,64901,67150
Wyoming,66152,67284,66508
