Month,Quarter
Jan-19,2019Q1
Feb-19,2019Q1
Mar-19,2019Q1
Apr-19,2019Q2
May-19,2019Q2
Jun-19,2019Q2
Jul-19,2019Q3
Aug-19,2019Q3
Sep-19,2019Q3
Oct-19,2019Q4
Nov-19,2019Q4
Dec-19,2019Q4
Jan-20,2020Q1
Feb-20,2020Q1
Mar-20,2020Q1
Apr-20,2020Q2
May-20,2020Q2
Jun-20,2020Q2
Jul-20,2020Q3
Aug-20,2020Q3
Sep-20,2020Q3
Oct-20,2020Q4
Nov-20,2020Q4
Dec-20,2020Q4
Jan-21,2021Q1
Feb-21,2021Q1
Mar-21,2021Q1
Apr-21,2021Q2
May-21,2021Q2
Jun-21,2021Q2
Jul-21,2021Q3
Aug-21,2021Q3
Sep-21,2021Q3
Oct-21,2021Q4
Nov-21,2021Q4
Dec-21,2021Q4
Jan-22,2022Q1
Feb-22,2022Q1
Mar-22,2022Q1
Apr-22,2022Q2
May-22,2022Q2
Jun-22,2022Q2
Jul-22,2022Q3
Aug-22,2022Q3
Sep-22,2022Q3
Oct-22,2022Q4
Nov-22,2022Q4
