Date,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
Jan-18,"147,662,000","125,294,000","698,000","7,102,000","12,556,000","5,821,700","15,781,400","5,287,600","553,200","2,818,000","8,501,000","20,721,000","23,442,000","16,200,000","5,812,000","22,368,000","2,799,000","5,148,000","14,421,000"
Feb-18,"148,064,000","125,654,000","705,000","7,186,000","12,582,000","5,824,600","15,820,100","5,316,500","555,900","2,813,000","8,528,000","20,771,000","23,500,000","16,234,000","5,818,000","22,410,000","2,791,000","5,151,000","14,468,000"
Mar-18,"148,289,000","125,868,000","712,000","7,195,000","12,608,000","5,837,300","15,836,100","5,345,100","555,400","2,824,000","8,537,000","20,819,000","23,530,000","16,248,000","5,821,000","22,421,000","2,792,000","5,157,000","14,472,000"
Apr-18,"148,468,000","126,033,000","721,000","7,223,000","12,632,000","5,814,100","15,834,800","5,371,700","556,900","2,838,000","8,546,000","20,869,000","23,547,000","16,251,000","5,828,000","22,435,000","2,793,000","5,169,000","14,473,000"
May-18,"148,801,000","126,342,000","726,000","7,271,000","12,661,000","5,820,200","15,843,600","5,405,200","555,500","2,837,000","8,572,000","20,924,000","23,590,000","16,293,000","5,843,000","22,459,000","2,791,000","5,182,000","14,486,000"
Jun-18,"148,984,000","126,507,000","732,000","7,291,000","12,693,000","5,824,800","15,798,000","5,429,600","554,500","2,840,000","8,591,000","20,963,000","23,617,000","16,329,000","5,844,000","22,477,000","2,796,000","5,182,000","14,499,000"
Jul-18,"149,050,000","126,601,000","732,000","7,316,000","12,714,000","5,837,700","15,781,600","5,442,200","551,400","2,842,000","8,600,000","20,980,000","23,644,000","16,335,000","5,825,000","22,449,000","2,800,000","5,179,000","14,470,000"
Aug-18,"149,269,000","126,800,000","740,000","7,345,000","12,724,000","5,855,700","15,783,900","5,474,100","551,600","2,843,000","8,612,000","21,016,000","23,693,000","16,337,000","5,825,000","22,469,000","2,802,000","5,182,000","14,485,000"
Sep-18,"149,326,000","126,842,000","741,000","7,366,000","12,743,000","5,852,800","15,738,700","5,497,200","551,600","2,839,000","8,631,000","21,047,000","23,707,000","16,296,000","5,832,000","22,484,000","2,806,000","5,187,000","14,491,000"
Oct-18,"149,471,000","126,988,000","744,000","7,380,000","12,762,000","5,856,800","15,705,500","5,521,600","552,000","2,851,000","8,640,000","21,073,000","23,751,000","16,316,000","5,835,000","22,483,000","2,805,000","5,183,000","14,495,000"
Nov-18,"149,573,000","127,100,000","737,000","7,379,000","12,774,000","5,864,200","15,724,200","5,541,100","551,900","2,851,000","8,650,000","21,089,000","23,768,000","16,336,000","5,835,000","22,473,000","2,808,000","5,165,000","14,500,000"
Dec-18,"149,821,000","127,312,000","741,000","7,396,000","12,793,000","5,869,100","15,704,100","5,524,500","551,100","2,853,000","8,660,000","21,118,000","23,854,000","16,398,000","5,850,000","22,509,000","2,809,000","5,174,000","14,526,000"
Jan-19,"150,100,000","127,581,000","743,000","7,434,000","12,822,000","5,877,700","15,683,500","5,584,400","550,800","2,843,000","8,672,000","21,098,000","23,906,000","16,511,000","5,856,000","22,519,000","2,809,000","5,169,000","14,541,000"
Feb-19,"150,124,000","127,595,000","739,000","7,402,000","12,821,000","5,886,400","15,661,800","5,571,800","549,600","2,836,000","8,684,000","21,140,000","23,936,000","16,507,000","5,860,000","22,529,000","2,812,000","5,177,000","14,540,000"
Mar-19,"150,348,000","127,787,000","737,000","7,427,000","12,819,000","5,882,700","15,648,600","5,577,100","550,100","2,848,000","8,704,000","21,168,000","23,996,000","16,546,000","5,883,000","22,561,000","2,813,000","5,179,000","14,569,000"
Apr-19,"150,636,000","128,037,000","738,000","7,470,000","12,824,000","5,888,500","15,645,300","5,619,600","547,500","2,846,000","8,724,000","21,215,000","24,058,000","16,565,000","5,896,000","22,599,000","2,821,000","5,178,000","14,600,000"
May-19,"150,713,000","128,117,000","738,000","7,484,000","12,821,000","5,889,500","15,619,900","5,648,000","549,500","2,853,000","8,738,000","21,247,000","24,082,000","16,553,000","5,894,000","22,596,000","2,828,000","5,182,000","14,586,000"
Jun-19,"150,843,000","128,246,000","735,000","7,510,000","12,829,000","5,883,400","15,585,300","5,686,100","551,600","2,873,000","8,749,000","21,294,000","24,128,000","16,529,000","5,893,000","22,597,000","2,834,000","5,186,000","14,577,000"
Jul-19,"150,921,000","128,364,000","730,000","7,522,000","12,832,000","5,889,900","15,589,500","5,701,700","550,900","2,868,000","8,771,000","21,318,000","24,177,000","16,519,000","5,895,000","22,557,000","2,831,000","5,200,000","14,526,000"
Aug-19,"151,081,000","128,482,000","723,000","7,527,000","12,827,000","5,886,800","15,588,400","5,703,000","549,900","2,868,000","8,786,000","21,337,000","24,234,000","16,558,000","5,894,000","22,599,000","2,855,000","5,220,000","14,524,000"
Sep-19,"151,244,000","128,589,000","720,000","7,540,000","12,820,000","5,888,500","15,582,100","5,718,700","548,600","2,872,000","8,785,000","21,350,000","24,279,000","16,591,000","5,894,000","22,655,000","2,853,000","5,224,000","14,578,000"
Oct-19,"151,337,000","128,657,000","721,000","7,543,000","12,764,000","5,895,500","15,591,700","5,720,800","546,700","2,873,000","8,797,000","21,360,000","24,312,000","16,647,000","5,885,000","22,680,000","2,838,000","5,238,000","14,604,000"
Nov-19,"151,589,000","128,875,000","707,000","7,536,000","12,812,000","5,892,100","15,560,400","5,734,100","548,000","2,883,000","8,814,000","21,393,000","24,390,000","16,699,000","5,906,000","22,714,000","2,842,000","5,247,000","14,625,000"
Dec-19,"151,789,000","129,058,000","693,000","7,529,000","12,795,000","5,896,200","15,608,600","5,747,200","548,700","2,894,000","8,821,000","21,396,000","24,437,000","16,771,000","5,921,000","22,731,000","2,836,000","5,247,000","14,648,000"
Jan-20,"152,128,000","129,344,000","684,000","7,577,000","12,784,000","5,897,700","15,594,100","5,802,900","547,000","2,897,000","8,837,000","21,371,000","24,531,000","16,881,000","5,940,000","22,784,000","2,855,000","5,264,000","14,665,000"
Feb-20,"152,504,000","129,625,000","686,000","7,624,000","12,785,000","5,892,800","15,597,500","5,794,800","547,100","2,903,000","8,870,000","21,393,000","24,598,000","16,983,000","5,951,000","22,879,000","2,861,000","5,310,000","14,708,000"
Mar-20,"151,006,000","128,181,000","673,000","7,549,000","12,717,000","5,875,400","15,511,000","5,786,900","547,000","2,898,000","8,851,000","21,308,000","24,360,000","16,245,000","5,860,000","22,825,000","2,877,000","5,247,000","14,701,000"
Apr-20,"130,513,000","108,609,000","615,000","6,516,000","11,423,000","5,488,200","13,352,500","5,289,200","543,000","2,642,000","8,590,000","19,091,000","21,759,000","8,780,000","4,520,000","21,904,000","2,875,000","5,091,000","13,938,000"
May-20,"133,155,000","111,734,000","595,000","7,007,000","11,656,000","5,502,700","13,689,100","5,318,400","542,400","2,606,000","8,607,000","19,294,000","22,149,000","10,011,000","4,756,000","21,421,000","2,877,000","5,080,000","13,464,000"
Jun-20,"137,660,000","116,244,000","581,000","7,166,000","11,990,000","5,545,300","14,496,800","5,448,800","539,400","2,624,000","8,623,000","19,651,000","22,699,000","11,791,000","5,089,000","21,416,000","2,882,000","5,076,000","13,458,000"
Jul-20,"139,048,000","117,537,000","570,000","7,198,000","12,025,000","5,528,100","14,744,500","5,510,100","539,700","2,617,000","8,623,000","19,836,000","22,889,000","12,232,000","5,225,000","21,511,000","2,907,000","5,084,000","13,520,000"
Aug-20,"140,713,000","118,750,000","563,000","7,222,000","12,050,000","5,540,300","15,044,500","5,598,700","541,500","2,640,000","8,647,000","20,026,000","23,088,000","12,513,000","5,276,000","21,963,000","3,156,000","5,114,000","13,693,000"
Sep-20,"141,632,000","119,709,000","561,000","7,243,000","12,095,000","5,565,700","15,054,700","5,666,400","543,300","2,698,000","8,675,000","20,154,000","23,184,000","12,946,000","5,323,000","21,923,000","3,122,000","5,102,000","13,699,000"
Oct-20,"142,279,000","120,508,000","556,000","7,295,000","12,122,000","5,574,600","15,113,600","5,745,500","541,900","2,698,000","8,696,000","20,374,000","23,277,000","13,179,000","5,335,000","21,771,000","2,982,000","5,077,000","13,712,000"
Nov-20,"142,612,000","120,914,000","554,000","7,313,000","12,157,000","5,584,300","15,111,500","5,827,200","541,800","2,706,000","8,709,000","20,525,000","23,346,000","13,209,000","5,330,000","21,698,000","2,894,000","5,077,000","13,727,000"
Dec-20,"142,497,000","120,806,000","554,000","7,357,000","12,190,000","5,598,200","15,170,100","5,848,100","541,200","2,719,000","8,721,000","20,689,000","23,350,000","12,749,000","5,319,000","21,691,000","2,893,000","5,080,000","13,718,000"
Jan-21,"143,017,000","121,229,000","546,000","7,360,000","12,184,000","5,611,700","15,243,500","5,881,100","542,200","2,745,000","8,732,000","20,800,000","23,378,000","12,877,000","5,328,000","21,788,000","2,886,000","5,154,000","13,748,000"
Feb-21,"143,727,000","121,922,000","542,000","7,308,000","12,222,000","5,622,400","15,292,600","5,945,700","542,100","2,758,000","8,724,000","20,902,000","23,454,000","13,270,000","5,339,000","21,805,000","2,888,000","5,157,000","13,760,000"
Mar-21,"144,431,000","122,572,000","551,000","7,408,000","12,268,000","5,635,500","15,328,600","5,995,800","542,700","2,768,000","8,733,000","21,021,000","23,541,000","13,423,000","5,356,000","21,859,000","2,888,000","5,170,000","13,801,000"
Apr-21,"144,694,000","122,784,000","554,000","7,393,000","12,240,000","5,647,100","15,338,800","5,997,800","543,200","2,788,000","8,747,000","20,943,000","23,582,000","13,631,000","5,379,000","21,910,000","2,895,000","5,173,000","13,842,000"
May-21,"145,141,000","123,165,000","560,000","7,381,000","12,268,000","5,655,600","15,313,600","6,026,600","542,300","2,803,000","8,747,000","21,023,000","23,620,000","13,830,000","5,395,000","21,976,000","2,889,000","5,231,000","13,856,000"
Jun-21,"145,698,000","123,673,000","566,000","7,378,000","12,288,000","5,675,600","15,381,900","6,061,500","541,500","2,820,000","8,745,000","21,084,000","23,640,000","14,054,000","5,437,000","22,025,000","2,885,000","5,251,000","13,889,000"
Jul-21,"146,387,000","124,311,000","569,000","7,395,000","12,350,000","5,693,800","15,398,100","6,101,400","541,600","2,841,000","8,772,000","21,226,000","23,699,000","14,251,000","5,473,000","22,076,000","2,887,000","5,241,000","13,948,000"
Aug-21,"146,904,000","124,808,000","574,000","7,397,000","12,391,000","5,699,200","15,434,700","6,133,300","539,800","2,866,000","8,781,000","21,309,000","23,728,000","14,453,000","5,502,000","22,096,000","2,886,000","5,226,000","13,984,000"
Sep-21,"147,328,000","125,217,000","576,000","7,427,000","12,413,000","5,703,900","15,493,600","6,169,700","539,700","2,874,000","8,794,000","21,383,000","23,737,000","14,587,000","5,519,000","22,111,000","2,885,000","5,224,000","14,002,000"
Oct-21,"148,005,000","125,911,000","578,000","7,455,000","12,466,000","5,716,300","15,537,000","6,220,200","539,500","2,886,000","8,817,000","21,619,000","23,805,000","14,728,000","5,544,000","22,094,000","2,880,000","5,224,000","13,990,000"
Nov-21,"148,652,000","126,538,000","582,000","7,502,000","12,514,000","5,731,200","15,556,900","6,257,400","538,700","2,904,000","8,849,000","21,730,000","23,874,000","14,919,000","5,580,000","22,114,000","2,884,000","5,220,000","14,010,000"
Dec-21,"149,240,000","127,099,000","590,000","7,546,000","12,555,000","5,749,700","15,595,100","6,279,700","538,100","2,913,000","8,863,000","21,821,000","23,939,000","15,105,000","5,604,000","22,141,000","2,876,000","5,237,000","14,028,000"
Jan-22,"149,744,000","127,591,000","590,000","7,552,000","12,581,000","5,762,300","15,716,500","6,333,100","538,700","2,918,000","8,865,000","21,909,000","23,972,000","15,243,000","5,610,000","22,153,000","2,879,000","5,219,000","14,055,000"
Feb-22,"150,458,000","128,295,000","600,000","7,606,000","12,631,000","5,788,800","15,827,800","6,406,900","538,800","2,918,000","8,894,000","21,996,000","24,073,000","15,367,000","5,648,000","22,163,000","2,878,000","5,212,000","14,073,000"
Mar-22,"150,856,000","128,680,000","605,000","7,628,000","12,689,000","5,814,700","15,804,900","6,410,600","538,300","2,936,000","8,905,000","22,090,000","24,124,000","15,471,000","5,663,000","22,176,000","2,876,000","5,213,000","14,087,000"
Apr-22,"151,224,000","129,048,000","613,000","7,623,000","12,750,000","5,842,900","15,805,300","6,459,600","539,200","2,957,000","8,936,000","22,130,000","24,186,000","15,530,000","5,676,000","22,176,000","2,867,000","5,218,000","14,091,000"
May-22,"151,610,000","129,379,000","620,000","7,658,000","12,769,000","5,856,000","15,761,600","6,497,700","539,800","2,983,000","8,946,000","22,199,000","24,264,000","15,599,000","5,686,000","22,231,000","2,868,000","5,258,000","14,105,000"
Jun-22,"151,903,000","129,725,000","628,000","7,668,000","12,794,000","5,866,000","15,783,900","6,513,600","540,000","3,009,000","8,951,000","22,289,000","24,358,000","15,642,000","5,682,000","22,178,000","2,856,000","5,238,000","14,084,000"
Jul-22,"152,440,000","130,173,000","633,000","7,689,000","12,831,000","5,881,800","15,800,200","6,531,200","541,100","3,025,000","8,958,000","22,373,000","24,480,000","15,731,000","5,699,000","22,267,000","2,864,000","5,246,000","14,157,000"
Aug-22,"152,732,000","130,406,000","631,000","7,698,000","12,867,000","5,896,900","15,829,500","6,529,500","542,600","3,032,000","8,967,000","22,402,000","24,562,000","15,744,000","5,704,000","22,326,000","2,864,000","5,261,000","14,201,000"
Sep-22,"153,047,000","130,725,000","634,000","7,720,000","12,890,000","5,908,500","15,821,900","6,518,200","543,200","3,039,000","8,968,000","22,454,000","24,653,000","15,851,000","5,724,000","22,322,000","2,867,000","5,261,000","14,194,000"
Oct-22,"153,308,000","130,958,000","634,000","7,721,000","12,922,000","5,923,100","15,829,100","6,526,400","544,300","3,043,000","8,971,000","22,493,000","24,732,000","15,886,000","5,733,000","22,350,000","2,873,000","5,254,000","14,223,000"
