State,RPC_2019,RPC_2020,RPC_2021
Alabama,182791.4,182200.5,196126.6
Alaska,33391.5,31986.2,32965.8
Arizona,267067.3,261631.1,291985
Arkansas,108010.5,106700.2,114240.3
California,1571307.1,1486155.4,1611323.6
Colorado,242286.3,235846.2,260464.8
Connecticut,162109,154420.4,169604.7
Delaware,42116.9,42042.5,45411.7
District of Columbia,40786.4,38602,41045.4
Florida,878524.3,853048.5,941446.9
Georgia,400908.4,390983.9,424021.6
Hawaii,54559.9,51114.6,54126.6
Idaho,62895.5,64395.2,71190.1
Illinois,523670.9,497667.2,535571.6
Indiana,254537.4,253201.5,271023.5
Iowa,120697.1,118924.9,128752.2
Kansas,112298.4,110676.4,120136.6
Kentucky,167424.2,165863.1,178612.3
Louisiana,175541.5,171999.7,185315.8
Maine,59471.6,56513.2,61731.5
Maryland,242284.8,227839.1,244214.2
Massachusetts,318759.8,297282.3,331844.5
Michigan,403073.7,392014.3,420483.1
Minnesota,240404.8,231904.8,243821.5
Mississippi,101473.3,100957.8,107372.4
Missouri,247260.3,240966.4,260823.1
Montana,43933.9,45180.1,49947.8
Nebraska,79331.5,77909.7,85501.9
Nevada,115720.9,114909,127591.1
New Hampshire,62836,60801.9,66480
New Jersey,373918.1,363998.9,401857.8
New Mexico,74383.4,73040,81474.1
New York,838695,789404,834351.8
North Carolina,402809,401049.1,427646.2
North Dakota,33893.3,32987.2,35447.8
Ohio,462835,456881.6,485839.9
Oklahoma,140973.4,138225,147633.3
Oregon,157818.9,155827.4,170303.4
Pennsylvania,549921.3,526948,570569.7
Rhode Island,41782,40193.9,43543.6
South Carolina,195019.6,194492,207502.5
South Dakota,37127.7,37167.5,41010.7
Tennessee,259440.1,257743.8,281997.3
Texas,1081690.7,1064976.8,1169659.2
Utah,112126.9,115765.3,130179
Vermont,28095.8,26167.1,28727.5
Virginia,342189,329026.2,352615.9
Washington,304762.1,297347.9,318114.2
West Virginia,70025.7,68523.4,69920.5
Wisconsin,234813.5,233021.4,246726.6
Wyoming,24050.2,24182.2,26192.8
