Date,Total_16to24_years,Total_25to54_years,Total_55Plus,Men_16to24_years,Men_25to54_years,Men_55Plus,Women_16to24_years,Women_25to54_years,Women_55Plus,White,Black,Asian,Hispanic
2020-05-01,2715,34983,11005,1073,16363,5339,1642,18621,5667,38029,4844,4391,5372
2020-06-01,2490,32147,10008,1034,14929,4810,1456,17218,5198,34489,4379,4265,5240
2020-07-01,2169,27347,8677,937,13384,4189,1232,13963,4488,29028,3921,4033,4658
2020-08-01,1954,25922,7925,842,12601,3783,1111,13320,4142,26957,3673,4051,4112
2020-09-01,1801,24394,7307,735,11568,3418,1066,12826,3889,25267,3456,3788,3694
2020-10-01,1674,23133,7147,649,10897,3433,1025,12236,3714,24351,3227,3362,3387
2020-11-01,1765,23745,7226,672,11122,3544,1093,12623,3682,25159,3250,3351,3510
2020-12-01,1838,25754,7908,790,12094,3844,1048,13661,4064,26999,3494,3802,3782
2021-01-01,1710,25194,7580,739,11949,3653,971,13245,3927,26320,3412,3517,3617
2021-02-01,1521,24536,7835,692,11652,3795,830,12883,4040,25533,3514,3731,3559
2021-03-01,1517,22964,7072,651,11030,3444,866,11934,3628,23685,3289,3541,3450
2021-04-01,1344,20048,6251,647,9600,3078,698,10448,3173,20738,2762,3239,2914
2021-05-01,1250,18487,5431,555,8988,2645,695,9498,2787,18634,2537,3175,2561
2021-06-01,1041,16331,4632,492,8033,2264,549,8297,2368,15995,2314,2917,2337
2021-07-01,1013,15071,4187,490,7579,2019,523,7491,2168,14615,2041,3048,2215
2021-08-01,907,15145,4509,474,7481,2160,434,7664,2349,14717,2122,3093,2179
2021-09-01,777,15270,4301,363,7615,2102,414,7655,2199,14647,2079,2891,2193
2021-10-01,808,13387,3857,396,6486,1929,412,6901,1927,12979,1901,2586,1744
2021-11-01,712,13204,3617,338,6484,1848,374,6720,1769,12579,1857,2452,1778
2021-12-01,620,12988,3750,322,6417,1860,298,6571,1890,12499,1800,2435,1717
2022-01-01,1025,17659,5254,478,8619,2647,547,9040,2607,17968,2393,2794,2661
2022-02-01,922,15225,4253,380,7530,2177,542,7694,2075,14911,2178,2604,2226
2022-03-01,679,11517,3607,318,5730,1806,361,5787,1800,11440,1650,2211,1841
2022-04-01,467,9152,2572,193,4518,1285,274,4634,1287,8536,1284,1934,1140
2022-05-01,476,8779,2430,219,4317,1150,257,4462,1281,8276,1200,1822,1223
2022-06-01,493,8380,2358,235,4080,1133,259,4300,1226,7963,1179,1670,1292
2022-07-01,583,8286,2409,271,4190,1188,312,4097,1222,7953,1219,1706,1388
2022-08-01,532,7696,2077,277,3849,1091,255,3847,986,7146,1139,1662,1331
2022-09-01,351,6335,1590,145,3146,771,205,3189,819,5666,817,1456,829
