Date,Sex,Age Group,Total Deaths,COVID-19 Deaths
2020-01-04,All Sex,All Ages,"60,167",0
2020-01-04,All Sex,<1 Years,403,0
2020-01-04,All Sex,1-4 Years,79,0
2020-01-04,All Sex,5-14 Years,99,0
2020-01-04,All Sex,15-24 Years,605,0
2020-01-04,All Sex,25-34 Years,"1,262",0
2020-01-04,All Sex,35-44 Years,"1,771",0
2020-01-04,All Sex,45-54 Years,"3,285",0
2020-01-04,All Sex,55-64 Years,"7,936",0
2020-01-04,All Sex,65-74 Years,"11,790",0
2020-01-04,All Sex,75-84 Years,"14,547",0
2020-01-04,All Sex,85+ Years,"18,390",0
2020-01-04,Male,All Ages,"30,927",0
2020-01-04,Male,<1 Years,214,0
2020-01-04,Male,1-4 Years,42,0
2020-01-04,Male,5-14 Years,51,0
2020-01-04,Male,15-24 Years,445,0
2020-01-04,Male,25-34 Years,889,0
2020-01-04,Male,35-44 Years,"1,127",0
2020-01-04,Male,45-54 Years,"2,020",0
2020-01-04,Male,55-64 Years,"4,801",0
2020-01-04,Male,65-74 Years,"6,737",0
2020-01-04,Male,75-84 Years,"7,452",0
2020-01-04,Male,85+ Years,"7,149",0
2020-01-04,Female,All Ages,"29,240",0
2020-01-04,Female,<1 Years,189,0
2020-01-04,Female,1-4 Years,37,0
2020-01-04,Female,5-14 Years,48,0
2020-01-04,Female,15-24 Years,160,0
2020-01-04,Female,25-34 Years,373,0
2020-01-04,Female,35-44 Years,644,0
2020-01-04,Female,45-54 Years,"1,265",0
2020-01-04,Female,55-64 Years,"3,135",0
2020-01-04,Female,65-74 Years,"5,053",0
2020-01-04,Female,75-84 Years,"7,095",0
2020-01-04,Female,85+ Years,"11,241",0
2020-01-11,All Sex,All Ages,"60,731",1
2020-01-11,All Sex,<1 Years,398,0
2020-01-11,All Sex,1-4 Years,80,0
2020-01-11,All Sex,5-14 Years,112,0
2020-01-11,All Sex,15-24 Years,580,0
2020-01-11,All Sex,25-34 Years,"1,174",0
2020-01-11,All Sex,35-44 Years,"1,746",0
2020-01-11,All Sex,45-54 Years,"3,277",0
2020-01-11,All Sex,55-64 Years,"7,850",0
2020-01-11,All Sex,65-74 Years,"12,091",0
2020-01-11,All Sex,75-84 Years,"14,724",1
2020-01-11,All Sex,85+ Years,"18,699",0
2020-01-11,Male,All Ages,"31,124",0
2020-01-11,Male,<1 Years,220,0
2020-01-11,Male,1-4 Years,41,0
2020-01-11,Male,5-14 Years,64,0
2020-01-11,Male,15-24 Years,425,0
2020-01-11,Male,25-34 Years,808,0
2020-01-11,Male,35-44 Years,"1,137",0
2020-01-11,Male,45-54 Years,"2,043",0
2020-01-11,Male,55-64 Years,"4,756",0
2020-01-11,Male,65-74 Years,"6,843",0
2020-01-11,Male,75-84 Years,"7,516",0
2020-01-11,Male,85+ Years,"7,271",0
2020-01-11,Female,All Ages,"29,607",1
2020-01-11,Female,<1 Years,178,0
2020-01-11,Female,1-4 Years,39,0
2020-01-11,Female,5-14 Years,48,0
2020-01-11,Female,15-24 Years,155,0
2020-01-11,Female,25-34 Years,366,0
2020-01-11,Female,35-44 Years,609,0
2020-01-11,Female,45-54 Years,"1,234",0
2020-01-11,Female,55-64 Years,"3,094",0
2020-01-11,Female,65-74 Years,"5,248",0
2020-01-11,Female,75-84 Years,"7,208",1
2020-01-11,Female,85+ Years,"11,428",0
2020-01-18,All Sex,All Ages,"59,358",2
2020-01-18,All Sex,<1 Years,434,0
2020-01-18,All Sex,1-4 Years,61,0
2020-01-18,All Sex,5-14 Years,96,0
2020-01-18,All Sex,15-24 Years,594,0
2020-01-18,All Sex,25-34 Years,"1,173",0
2020-01-18,All Sex,35-44 Years,"1,685",0
2020-01-18,All Sex,45-54 Years,"3,251",0
2020-01-18,All Sex,55-64 Years,"7,706",0
2020-01-18,All Sex,65-74 Years,"11,752",1
2020-01-18,All Sex,75-84 Years,"14,263",1
2020-01-18,All Sex,85+ Years,"18,343",0
2020-01-18,Male,All Ages,"30,334",1
2020-01-18,Male,<1 Years,223,0
2020-01-18,Male,1-4 Years,29,0
2020-01-18,Male,5-14 Years,64,0
2020-01-18,Male,15-24 Years,431,0
2020-01-18,Male,25-34 Years,815,0
2020-01-18,Male,35-44 Years,"1,071",0
2020-01-18,Male,45-54 Years,"2,000",0
2020-01-18,Male,55-64 Years,"4,601",0
2020-01-18,Male,65-74 Years,"6,702",0
2020-01-18,Male,75-84 Years,"7,387",1
2020-01-18,Male,85+ Years,"7,011",0
2020-01-18,Female,All Ages,"29,024",1
2020-01-18,Female,<1 Years,211,0
2020-01-18,Female,1-4 Years,32,0
2020-01-18,Female,5-14 Years,32,0
2020-01-18,Female,15-24 Years,163,0
2020-01-18,Female,25-34 Years,358,0
2020-01-18,Female,35-44 Years,614,0
2020-01-18,Female,45-54 Years,"1,251",0
2020-01-18,Female,55-64 Years,"3,105",0
2020-01-18,Female,65-74 Years,"5,050",1
2020-01-18,Female,75-84 Years,"6,876",0
2020-01-18,Female,85+ Years,"11,332",0
2020-01-25,All Sex,All Ages,"59,157",3
2020-01-25,All Sex,<1 Years,401,0
2020-01-25,All Sex,1-4 Years,81,0
2020-01-25,All Sex,5-14 Years,108,0
2020-01-25,All Sex,15-24 Years,570,0
2020-01-25,All Sex,25-34 Years,"1,191",0
2020-01-25,All Sex,35-44 Years,"1,663",0
2020-01-25,All Sex,45-54 Years,"3,187",1
2020-01-25,All Sex,55-64 Years,"7,690",1
2020-01-25,All Sex,65-74 Years,"11,795",1
2020-01-25,All Sex,75-84 Years,"14,403",0
2020-01-25,All Sex,85+ Years,"18,068",0
2020-01-25,Male,All Ages,"30,597",2
2020-01-25,Male,<1 Years,223,0
2020-01-25,Male,1-4 Years,44,0
2020-01-25,Male,5-14 Years,63,0
2020-01-25,Male,15-24 Years,413,0
2020-01-25,Male,25-34 Years,811,0
2020-01-25,Male,35-44 Years,"1,076",0
2020-01-25,Male,45-54 Years,"1,943",0
2020-01-25,Male,55-64 Years,"4,700",1
2020-01-25,Male,65-74 Years,"6,814",1
2020-01-25,Male,75-84 Years,"7,499",0
2020-01-25,Male,85+ Years,"7,011",0
2020-01-25,Female,All Ages,"28,560",1
2020-01-25,Female,<1 Years,178,0
2020-01-25,Female,1-4 Years,37,0
2020-01-25,Female,5-14 Years,45,0
2020-01-25,Female,15-24 Years,157,0
2020-01-25,Female,25-34 Years,380,0
2020-01-25,Female,35-44 Years,587,0
2020-01-25,Female,45-54 Years,"1,244",1
2020-01-25,Female,55-64 Years,"2,990",0
2020-01-25,Female,65-74 Years,"4,981",0
2020-01-25,Female,75-84 Years,"6,904",0
2020-01-25,Female,85+ Years,"11,057",0
2020-02-01,All Sex,All Ages,"58,829",0
2020-02-01,All Sex,<1 Years,397,0
2020-02-01,All Sex,1-4 Years,67,0
2020-02-01,All Sex,5-14 Years,111,0
2020-02-01,All Sex,15-24 Years,576,0
2020-02-01,All Sex,25-34 Years,"1,134",0
2020-02-01,All Sex,35-44 Years,"1,665",0
2020-02-01,All Sex,45-54 Years,"3,340",0
2020-02-01,All Sex,55-64 Years,"7,492",0
2020-02-01,All Sex,65-74 Years,"11,671",0
2020-02-01,All Sex,75-84 Years,"14,148",0
2020-02-01,All Sex,85+ Years,"18,228",0
2020-02-01,Male,All Ages,"30,201",0
2020-02-01,Male,<1 Years,202,0
2020-02-01,Male,1-4 Years,39,0
2020-02-01,Male,5-14 Years,63,0
2020-02-01,Male,15-24 Years,429,0
2020-02-01,Male,25-34 Years,800,0
2020-02-01,Male,35-44 Years,"1,068",0
2020-02-01,Male,45-54 Years,"2,041",0
2020-02-01,Male,55-64 Years,"4,501",0
2020-02-01,Male,65-74 Years,"6,717",0
2020-02-01,Male,75-84 Years,"7,358",0
2020-02-01,Male,85+ Years,"6,983",0
2020-02-01,Female,All Ages,"28,628",0
2020-02-01,Female,<1 Years,195,0
2020-02-01,Female,1-4 Years,28,0
2020-02-01,Female,5-14 Years,48,0
2020-02-01,Female,15-24 Years,147,0
2020-02-01,Female,25-34 Years,334,0
2020-02-01,Female,35-44 Years,597,0
2020-02-01,Female,45-54 Years,"1,299",0
2020-02-01,Female,55-64 Years,"2,991",0
2020-02-01,Female,65-74 Years,"4,954",0
2020-02-01,Female,75-84 Years,"6,790",0
2020-02-01,Female,85+ Years,"11,245",0
2020-02-08,All Sex,All Ages,"59,476",4
2020-02-08,All Sex,<1 Years,440,0
2020-02-08,All Sex,1-4 Years,85,0
2020-02-08,All Sex,5-14 Years,99,0
2020-02-08,All Sex,15-24 Years,610,0
2020-02-08,All Sex,25-34 Years,"1,180",0
2020-02-08,All Sex,35-44 Years,"1,681",0
