Date,State,tot_deaths,new_deaths
2020-01-23,AK,0,0
2020-01-30,AK,0,0
2020-02-06,AK,0,0
2020-02-13,AK,0,0
2020-02-20,AK,0,0
2020-02-27,AK,0,0
2020-03-05,AK,0,0
2020-03-12,AK,0,0
2020-03-19,AK,0,0
2020-03-26,AK,1,1
2020-04-02,AK,3,2
2020-04-09,AK,7,4
2020-04-16,AK,9,2
2020-04-23,AK,9,0
2020-04-30,AK,9,0
2020-05-07,AK,10,1
2020-05-14,AK,10,0
2020-05-21,AK,10,0
2020-05-28,AK,10,0
2020-06-04,AK,10,0
2020-06-11,AK,11,1
2020-06-18,AK,12,1
2020-06-25,AK,12,0
2020-07-02,AK,13,1
2020-07-09,AK,16,3
2020-07-16,AK,16,0
2020-07-23,AK,18,2
2020-07-30,AK,21,3
2020-08-06,AK,25,4
2020-08-13,AK,27,2
2020-08-20,AK,29,2
2020-08-27,AK,36,7
2020-09-03,AK,38,2
2020-09-10,AK,41,3
2020-09-17,AK,43,2
2020-09-24,AK,44,1
2020-10-01,AK,55,11
2020-10-08,AK,59,4
2020-10-15,AK,64,5
2020-10-22,AK,68,4
2020-10-29,AK,71,3
2020-11-05,AK,86,15
2020-11-12,AK,98,12
2020-11-19,AK,102,4
2020-11-26,AK,118,16
2020-12-03,AK,123,5
2020-12-10,AK,150,27
2020-12-17,AK,180,30
2020-12-24,AK,196,16
2020-12-31,AK,203,7
2021-01-07,AK,220,17
2021-01-14,AK,226,6
2021-01-21,AK,253,27
2021-01-28,AK,261,8
2021-02-04,AK,279,18
2021-02-11,AK,280,1
2021-02-18,AK,288,8
2021-02-25,AK,289,1
2021-03-04,AK,301,12
2021-03-11,AK,303,2
2021-03-18,AK,305,2
2021-03-25,AK,310,5
2021-04-01,AK,311,1
2021-04-08,AK,311,0
2021-04-15,AK,312,1
2021-04-22,AK,332,20
2021-04-29,AK,344,12
2021-05-06,AK,345,1
2021-05-13,AK,350,5
2021-05-20,AK,366,16
2021-05-27,AK,366,0
2021-06-03,AK,366,0
2021-06-10,AK,366,0
2021-06-17,AK,370,4
2021-06-24,AK,371,1
2021-07-01,AK,374,3
2021-07-08,AK,374,0
2021-07-15,AK,378,4
2021-07-22,AK,379,1
2021-07-29,AK,383,4
2021-08-05,AK,390,7
2021-08-12,AK,397,7
2021-08-19,AK,409,12
2021-08-26,AK,435,26
2021-09-02,AK,445,10
2021-09-09,AK,453,8
2021-09-16,AK,465,12
2021-09-23,AK,478,13
2021-09-30,AK,563,85
2021-10-07,AK,581,18
2021-10-14,AK,608,27
2021-10-21,AK,687,79
2021-10-28,AK,712,25
2021-11-04,AK,733,21
2021-11-11,AK,827,94
2021-11-18,AK,838,11
2021-11-25,AK,866,28
2021-12-02,AK,877,11
2021-12-09,AK,882,5
2021-12-16,AK,885,3
2021-12-23,AK,972,87
2021-12-30,AK,974,2
2022-01-06,AK,975,1
2022-01-13,AK,981,6
2022-01-20,AK,"1,047",66
2022-01-27,AK,"1,077",30
2022-02-03,AK,"1,089",12
2022-02-10,AK,"1,110",21
2022-02-17,AK,"1,137",27
2022-02-24,AK,"1,159",22
2022-03-03,AK,"1,187",28
2022-03-10,AK,"1,197",10
2022-03-17,AK,"1,198",1
2022-03-24,AK,"1,215",17
2022-03-31,AK,"1,224",9
2022-04-07,AK,"1,224",0
2022-04-14,AK,"1,230",6
2022-04-21,AK,"1,243",13
2022-04-28,AK,"1,247",4
2022-05-05,AK,"1,248",1
2022-05-12,AK,"1,259",11
2022-05-19,AK,"1,270",11
2022-05-26,AK,"1,270",0
2022-06-02,AK,"1,270",0
2022-06-09,AK,"1,270",0
2022-06-16,AK,"1,270",0
2022-06-23,AK,"1,270",0
2022-06-30,AK,"1,270",0
2022-07-07,AK,"1,270",0
2022-07-14,AK,"1,275",5
2022-07-21,AK,"1,275",0
2022-07-28,AK,"1,275",0
2022-08-04,AK,"1,275",0
2022-08-11,AK,"1,296",21
2022-08-18,AK,"1,296",0
2022-08-25,AK,"1,304",8
2022-09-01,AK,"1,304",0
2022-09-08,AK,"1,304",0
2022-09-15,AK,"1,329",25
2022-09-22,AK,"1,329",0
2022-09-29,AK,"1,329",0
2022-10-06,AK,"1,356",27
2022-10-13,AK,"1,356",0
2022-10-20,AK,"1,356",0
2022-10-27,AK,"1,376",20
2022-11-03,AK,"1,376",0
2022-11-10,AK,"1,376",0
2022-11-17,AK,"1,399",23
2020-01-23,AL,0,0
2020-01-30,AL,0,0
2020-02-06,AL,0,0
2020-02-13,AL,0,0
2020-02-20,AL,0,0
2020-02-27,AL,0,0
2020-03-05,AL,0,0
2020-03-12,AL,0,0
2020-03-19,AL,0,0
2020-03-26,AL,1,1
2020-04-02,AL,26,25
2020-04-09,AL,65,39
2020-04-16,AL,110,45
2020-04-23,AL,193,83
2020-04-30,AL,255,62
2020-05-07,AL,341,86
2020-05-14,AL,448,107
2020-05-21,AL,522,74
2020-05-28,AL,583,61
2020-06-04,AL,650,67
2020-06-11,AL,742,92
2020-06-18,AL,787,45
2020-06-25,AL,886,99
2020-07-02,AL,974,88
2020-07-09,AL,"1,058",84
2020-07-16,AL,"1,210",152
2020-07-23,AL,"1,364",154
2020-07-30,AL,"1,539",175
2020-08-06,AL,"1,694",155
2020-08-13,AL,"1,879",185
2020-08-20,AL,"1,942",63
2020-08-27,AL,"2,043",101
2020-09-03,AL,"2,211",168
2020-09-10,AL,"2,281",70
2020-09-17,AL,"2,386",105
2020-09-24,AL,"2,465",79
2020-10-01,AL,"2,530",65
2020-10-08,AL,"2,602",72
2020-10-15,AL,"2,706",104
2020-10-22,AL,"2,826",120
2020-10-29,AL,"2,909",83
2020-11-05,AL,"3,003",94
2020-11-12,AL,"3,198",195
2020-11-19,AL,"3,343",145
2020-11-26,AL,"3,528",185
2020-12-03,AL,"3,708",180
2020-12-10,AL,"3,982",274
2020-12-17,AL,"4,196",214
2020-12-24,AL,"4,585",389
2020-12-31,AL,"4,774",189
2021-01-07,AL,"4,987",213
2021-01-14,AL,"5,752",765
2021-01-21,AL,"6,281",529
2021-01-28,AL,"7,169",888
2021-02-04,AL,"8,201","1,032"
2021-02-11,AL,"8,888",687
2021-02-18,AL,"9,347",459
2021-02-25,AL,"9,741",394
2021-03-04,AL,"10,026",285
2021-03-11,AL,"10,219",193
2021-03-18,AL,"10,360",141
2021-03-25,AL,"10,481",121
2021-04-01,AL,"10,547",66
2021-04-08,AL,"10,650",103
2021-04-15,AL,"10,725",75
2021-04-22,AL,"10,799",74
2021-04-29,AL,"10,876",77
2021-05-06,AL,"10,928",52
2021-05-13,AL,"10,993",65
2021-05-20,AL,"11,040",47
2021-05-27,AL,"11,132",92
2021-06-03,AL,"11,161",29
2021-06-10,AL,"11,241",80
2021-06-17,AL,"11,280",39
2021-06-24,AL,"11,318",38
2021-07-01,AL,"11,350",32
2021-07-08,AL,"11,386",36
2021-07-15,AL,"11,426",40
2021-07-22,AL,"11,459",33
2021-07-29,AL,"11,508",49
2021-08-05,AL,"11,560",52
2021-08-12,AL,"11,689",129
2021-08-19,AL,"11,872",183
2021-08-26,AL,"12,000",128
2021-09-02,AL,"12,292",292
2021-09-09,AL,"12,487",195
2021-09-16,AL,"12,784",297
2021-09-23,AL,"13,665",881
2021-09-30,AL,"14,200",535
2021-10-07,AL,"14,612",412
2021-10-14,AL,"14,979",367
2021-10-21,AL,"15,308",329
2021-10-28,AL,"15,432",124
2021-11-04,AL,"15,668",236
2021-11-11,AL,"15,910",242
2021-11-18,AL,"16,020",110
2021-11-25,AL,"16,099",79
2021-12-02,AL,"16,140",41
2021-12-09,AL,"16,201",61
2021-12-16,AL,"16,303",102
2021-12-23,AL,"16,378",75
2021-12-30,AL,"16,453",75
2022-01-06,AL,"16,502",49
2022-01-13,AL,"16,640",138
2022-01-20,AL,"16,756",116
2022-01-27,AL,"16,914",158
2022-02-03,AL,"17,215",301
2022-02-10,AL,"17,452",237
2022-02-17,AL,"17,748",296
2022-02-24,AL,"18,006",258
2022-03-03,AL,"18,334",328
2022-03-10,AL,"18,694",360
2022-03-17,AL,"18,944",250
2022-03-24,AL,"19,167",223
