Counts of COVID-19-associated Hospitalizations by Age from the COVID-NET Network (data downloaded on 11/14/2022)Centers for Disease Control and Prevention
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020-22,2020-10,0,0,10,7,17
2020-22,2020-11,0,0,50,79,83
2020-22,2020-12,0,3,252,286,413
2020-22,2020-13,6,5,636,793,1060
2020-22,2020-14,11,11,657,1025,1405
2020-22,2020-15,9,7,638,908,1456
2020-22,2020-16,11,8,730,952,1529
2020-22,2020-17,10,14,766,822,1499
2020-22,2020-18,11,20,773,854,1397
2020-22,2020-19,9,22,741,774,1143
2020-22,2020-20,13,15,706,715,1048
2020-22,2020-21,17,22,732,671,963
2020-22,2020-22,14,25,632,532,787
2020-22,2020-23,16,18,524,423,599
2020-22,2020-24,14,14,465,348,466
2020-22,2020-25,15,10,468,368,433
2020-22,2020-26,14,22,582,414,442
2020-22,2020-27,10,20,735,524,656
2020-22,2020-28,20,29,883,709,860
2020-22,2020-29,15,30,922,758,925
2020-22,2020-30,23,22,793,725,917
2020-22,2020-31,16,20,737,648,837
2020-22,2020-32,13,21,690,566,760
2020-22,2020-33,12,24,603,529,679
2020-22,2020-34,12,24,520,496,654
2020-22,2020-35,11,30,497,356,540
2020-22,2020-36,20,21,407,350,519
2020-22,2020-37,7,18,396,347,493
2020-22,2020-38,10,23,381,317,512
2020-22,2020-39,15,13,412,380,572
2020-21,2020-40,9,20,428,385,584
2020-21,2020-41,9,21,474,485,782
2020-21,2020-42,13,26,580,512,895
2020-21,2020-43,11,25,587,717,1074
2020-21,2020-44,14,31,729,816,1385
2020-21,2020-45,24,53,968,1073,1802
2020-21,2020-46,23,59,1153,1361,2479
2020-21,2020-47,29,37,1229,1505,2973
2020-21,2020-48,26,49,1283,1538,3116
2020-21,2020-49,41,52,1342,1590,3255
2020-21,2020-50,44,44,1408,1642,3304
2020-21,2020-51,33,46,1274,1604,3254
2020-21,2020-52,36,57,1207,1596,3333
2020-21,2020-53,30,52,1305,1625,3371
2020-21,2021-1,38,70,1394,1787,3499
2020-21,2021-2,38,59,1299,1599,3026
2020-21,2021-3,29,53,1118,1377,2620
2020-21,2021-4,26,61,954,1152,2148
2020-21,2021-5,23,46,836,969,1863
2020-21,2021-6,20,42,731,754,1308
2020-21,2021-7,20,46,626,682,1156
2020-21,2021-8,11,35,619,665,979
2020-21,2021-9,14,25,577,600,799
2020-21,2021-10,22,21,592,644,813
2020-21,2021-11,22,38,668,755,792
2020-21,2021-12,20,39,762,882,934
2020-21,2021-13,26,36,964,922,885
2020-21,2021-14,28,36,1154,1096,971
2020-21,2021-15,14,44,1132,1136,1000
2020-21,2021-16,31,50,1043,947,923
2020-21,2021-17,21,50,949,832,778
2020-21,2021-18,14,53,840,744,710
2020-21,2021-19,28,36,717,559,519
2020-21,2021-20,20,27,597,434,498
2020-21,2021-21,16,30,484,329,345
2020-21,2021-22,14,31,340,277,266
2020-21,2021-23,11,15,328,202,213
2020-21,2021-24,5,15,256,162,185
2020-21,2021-25,4,19,233,153,169
2020-21,2021-26,8,14,227,155,146
2020-21,2021-27,14,15,313,195,202
2020-21,2021-28,9,24,395,245,295
2020-21,2021-29,22,19,561,393,385
2020-21,2021-30,19,26,792,595,625
2020-21,2021-31,32,49,1090,771,821
2020-21,2021-32,32,51,1238,970,1063
2020-21,2021-33,43,63,1331,1073,1257
2020-21,2021-34,48,69,1365,1129,1381
2020-21,2021-35,51,71,1396,1133,1406
2020-21,2021-36,56,72,1191,1110,1334
2020-21,2021-37,44,63,1027,941,1259
2020-21,2021-38,38,64,950,898,1207
2020-21,2021-39,41,57,843,782,1161

"The Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET) hospitalization data are preliminary and subject to change as more data become available. In particular, case counts for recent hospital admissions are subject to lag. Lag for COVID-NET case identification and reporting might increase around holidays or during periods of increased hospital utilization. As data are received each week, prior case counts are updated accordingly."
"COVID-NET conducts population-based surveillance for laboratory-confirmed COVID-19-associated hospitalizations in children (less than 18 years of age) and adults. COVID-NET covers nearly 100 counties in the 10 Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and four Influenza Hospitalization Surveillance Project (IHSP) states (IA, MI, OH, and UT)."
