Percent of COVID-19-associated Hospitalizations by Age from the COVID-NET Network (data downloaded on 11/14/2022)Centers for Disease Control and Prevention
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020-22,2020-10,0.0,0.0,29.4,20.6,50.0
2020-22,2020-11,0.0,0.0,23.6,37.3,39.2
2020-22,2020-12,0.0,0.3,26.4,30.0,43.3
2020-22,2020-13,0.2,0.2,25.4,31.7,42.4
2020-22,2020-14,0.4,0.4,21.1,33.0,45.2
2020-22,2020-15,0.3,0.2,21.1,30.1,48.2
2020-22,2020-16,0.3,0.2,22.6,29.5,47.3
2020-22,2020-17,0.3,0.5,24.6,26.4,48.2
2020-22,2020-18,0.4,0.7,25.3,28.0,45.7
2020-22,2020-19,0.3,0.8,27.6,28.8,42.5
2020-22,2020-20,0.5,0.6,28.3,28.6,42.0
2020-22,2020-21,0.7,0.9,30.4,27.9,40.0
2020-22,2020-22,0.7,1.3,31.8,26.7,39.5
2020-22,2020-23,1.0,1.1,33.2,26.8,37.9
2020-22,2020-24,1.1,1.1,35.6,26.6,35.7
2020-22,2020-25,1.2,0.8,36.2,28.4,33.5
2020-22,2020-26,0.9,1.5,39.5,28.1,30.0
2020-22,2020-27,0.5,1.0,37.8,26.9,33.7
2020-22,2020-28,0.8,1.2,35.3,28.3,34.4
2020-22,2020-29,0.6,1.1,34.8,28.6,34.9
2020-22,2020-30,0.9,0.9,32.0,29.2,37.0
2020-22,2020-31,0.7,0.9,32.6,28.7,37.1
2020-22,2020-32,0.6,1.0,33.7,27.6,37.1
2020-22,2020-33,0.6,1.3,32.6,28.6,36.8
2020-22,2020-34,0.7,1.4,30.5,29.1,38.3
2020-22,2020-35,0.8,2.1,34.7,24.8,37.7
2020-22,2020-36,1.5,1.6,30.9,26.6,39.4
2020-22,2020-37,0.6,1.4,31.4,27.5,39.1
2020-22,2020-38,0.8,1.9,30.7,25.5,41.2
2020-22,2020-39,1.1,0.9,29.6,27.3,41.1
2020-21,2020-40,0.6,1.4,30.0,27.0,41.0
2020-21,2020-41,0.5,1.2,26.8,27.4,44.2
2020-21,2020-42,0.6,1.3,28.6,25.3,44.2
2020-21,2020-43,0.5,1.0,24.3,29.7,44.5
2020-21,2020-44,0.5,1.0,24.5,27.4,46.6
2020-21,2020-45,0.6,1.4,24.7,27.4,46.0
2020-21,2020-46,0.5,1.2,22.7,26.8,48.8
2020-21,2020-47,0.5,0.6,21.3,26.1,51.5
2020-21,2020-48,0.4,0.8,21.3,25.6,51.8
2020-21,2020-49,0.7,0.8,21.4,25.3,51.8
2020-21,2020-50,0.7,0.7,21.9,25.5,51.3
2020-21,2020-51,0.5,0.7,20.5,25.8,52.4
2020-21,2020-52,0.6,0.9,19.4,25.6,53.5
2020-21,2020-53,0.5,0.8,20.4,25.5,52.8
2020-21,2021-1,0.6,1.0,20.5,26.3,51.5
2020-21,2021-2,0.6,1.0,21.6,26.6,50.3
2020-21,2021-3,0.6,1.0,21.5,26.5,50.4
2020-21,2021-4,0.6,1.4,22.0,26.5,49.5
2020-21,2021-5,0.6,1.2,22.4,25.9,49.9
2020-21,2021-6,0.7,1.5,25.6,26.4,45.8
2020-21,2021-7,0.8,1.8,24.7,27.0,45.7
2020-21,2021-8,0.5,1.5,26.8,28.8,42.4
2020-21,2021-9,0.7,1.2,28.6,29.8,39.7
2020-21,2021-10,1.1,1.0,28.3,30.8,38.9
2020-21,2021-11,1.0,1.7,29.4,33.2,34.8
2020-21,2021-12,0.8,1.5,28.9,33.4,35.4
2020-21,2021-13,0.9,1.3,34.0,32.5,31.2
2020-21,2021-14,0.9,1.1,35.1,33.4,29.6
2020-21,2021-15,0.4,1.3,34.0,34.2,30.1
2020-21,2021-16,1.0,1.7,34.8,31.6,30.8
