"State","Value",
"Alabama","0.2",
"Alaska","-4.2",
"Arizona","3.1",
"Arkansas","2.0",
"California","-0.1",
"Colorado","2.2",
"Connecticut","-1.9",
"Delaware","-1.7",
"District of Columbia","-4.7",
"Florida","4.5",
"Georgia","3.5",
"Hawaii","-7.9",
"Idaho","6.5",
"Illinois","-1.0",
"Indiana","0.8",
"Iowa","-0.8",
"Kansas","-2.0",
"Kentucky","1.2",
"Louisiana","-2.9",
"Maine","-0.2",
"Maryland","-1.4",
"Massachusetts","-1.3",
"Michigan","-2.2",
"Minnesota","-2.0",
"Mississippi","-0.6",
"Missouri","0.0",
"Montana","3.3",
"Nebraska","0.2",
"Nevada","0.9",
"New Hampshire","-0.5",
"New Jersey","0.3",
"New Mexico","-0.9",
"New York","-3.4",
"North Carolina","4.1",
"North Dakota","-2.0",
"Ohio","-2.4",
"Oklahoma","-0.7",
"Oregon","0.3",
"Pennsylvania","-1.6",
"Rhode Island","-1.8",
"South Carolina","1.9",
"South Dakota","2.4",
"Tennessee","3.2",
"Texas","4.5",
"Utah","6.2",
"Vermont","-4.5",
"Virginia","0.0",
"Washington","0.4",
"West Virginia","-1.4",
"Wisconsin","-1.5",
"Wyoming","-1.2",
"Puerto Rico","4.4",
