Date ,State ,Total_Count,Male_Count,Female_Count,,,,
2020-04-13,Alabama,4572,1876,2615,,,,
2020-04-13,Alaska,272,134,138,,,,
2020-04-13,Arizona,3539,1663,1876,,,,
2020-04-13,Arkansas,1280,552,728,,,,
2020-04-13,California,21794,10926,10571,,,,
2020-04-13,Colorado,7303,3451,3814,,,,
2020-04-13,Connecticut,16809,8852,7654,,,,
2020-04-13,Delaware,1625,0,0,,,,
2020-04-13,District of Columbia,1875,967,902,,,,
2020-04-13,Florida,19895,0,0,,,,
2020-04-13,Georgia,12550,5522,6777,,,,
2020-04-13,Hawaii,499,0,0,,,,
2020-04-13,Idaho,1426,687,739,,,,
2020-04-13,Illinois,20852,10030,10509,,,,
2020-04-13,Indiana,7928,3504,4337,,,,
2020-04-13,Iowa,1587,768,819,,,,
2020-04-13,Kansas,1494,683,810,,,,
2020-04-13,Kentucky,2291,881,1064,,,,
2020-04-13,Louisiana,20595,8238,11327,,,,
2020-04-13,Maine,633,323,310,,,,
2020-04-13,Maryland,8936,4100,4800,,,,
2020-04-13,Massachusetts,25475,11390,13315,,,,
2020-04-13,Michigan,24638,11333,13058,,,,
2020-04-13,Minnesota,1621,778,843,,,,
2020-04-13,Mississippi,2942,1197,1730,,,,
2020-04-13,Missouri,4388,1659,1830,,,,
2020-04-13,Montana,394,205,189,,,,
2020-04-13,Nebraska,0,0,0,,,,
2020-04-13,Nevada,2971,1010,1367,,,,
2020-04-13,New Hampshire,1020,551,469,,,,
2020-04-13,New Jersey,64585,37459,31647,,,,
2020-04-13,New Mexico,1484,715,769,,,,
2020-04-13,New York,195031,104732,89129,,,,
2020-04-13,North Carolina,4816,2167,2552,,,,
2020-04-13,North Dakota,331,152,179,,,,
2020-04-13,Ohio,6975,3348,3627,,,,
2020-04-13,Oklahoma,2069,929,1140,,,,
2020-04-13,Oregon,1584,713,871,,,,
2020-04-13,Pennsylvania,29441,13543,15604,,,,
2020-04-13,Puerto Rico,903,476,427,,,,
2020-04-13,Rhode Island,2976,1356,1620,,,,
2020-04-13,South Carolina,3439,1513,1823,,,,
2020-04-13,South Dakota,0,0,0,,,,
2020-04-13,Tennessee,5610,2581,2861,,,,
2020-04-13,Texas,13906,6842,6619,,,,
2020-04-13,US Virgin Island,51,19,32,,,,
2020-04-13,Utah,2363,1251,1108,,,,
2020-04-13,Vermont,748,362,379,,,,
2020-04-13,Virginia,5747,2776,2908,,,,
2020-04-13,Washington,10538,4742,5480,,,,
2020-04-13,West Virginia,718,301,416,,,,
2020-04-13,Wisconsin,3428,1611,1817,,,,
2020-04-13,Wyoming,275,137,141,,,,
2020-04-27,Alabama,6421,2650,3706,,,,
2020-04-27,Alaska,341,170,171,,,,
2020-04-27,Arizona,6526,3067,3459,,,,
2020-04-27,Arkansas,3001,1840,1152,,,,
2020-04-27,California,42164,20957,20908,,,,
2020-04-27,Colorado,13441,6415,6847,,,,
2020-04-27,Connecticut,25269,11359,13554,,,,
2020-04-27,Delaware,4034,0,0,,,,
2020-04-27,District of Columbia,3841,1957,1876,,,,
2020-04-27,Florida,31528,15873,15597,,,,
2020-04-27,Georgia,23481,10332,12680,,,,
2020-04-27,Hawaii,606,0,0,,,,
2020-04-27,Idaho,1897,877,1015,,,,
2020-04-27,Illinois,43903,21102,22026,,,,
2020-04-27,Indiana,15012,6680,8091,,,,
2020-04-27,Iowa,5475,2842,2551,,,,
2020-04-27,Kansas,3174,1593,1559,,,,
2020-04-27,Kentucky,4074,1692,2184,,,,
2020-04-27,Louisiana,26773,10709,14993,,,,
2020-04-27,Maine,1015,465,550,,,,
2020-04-27,Maryland,18581,8618,9963,,,,
2020-04-27,Massachusetts,54938,24118,29331,,,,
2020-04-27,Michigan,37778,17000,20400,,,,
2020-04-27,Minnesota,3602,1765,1801,,,,
2020-04-27,Mississippi,5911,2400,3487,,,,
2020-04-27,Missouri,6997,3150,3777,,,,
2020-04-27,Montana,448,215,233,,,,
2020-04-27,Nebraska,3028,0,0,,,,
2020-04-27,Nevada,4602,1933,2531,,,,
2020-04-27,New Hampshire,1846,664,782,,,,
2020-04-27,New Jersey,109038,43615,65423,,,,
2020-04-27,New Mexico,2726,1155,1297,,,,
2020-04-27,New York,288045,149783,136821,,,,
2020-04-27,North Carolina,8830,4150,4503,,,,
2020-04-27,North Dakota,867,453,414,,,,
2020-04-27,Ohio,15360,8909,6451,,,,
2020-04-27,Oklahoma,3253,1427,1818,,,,
2020-04-27,Oregon,2311,1048,1253,,,,
2020-04-27,Pennsylvania,41165,18355,22236,,,,
2020-04-27,Puerto Rico,865,443,422,,,,
2020-04-27,Rhode Island,7439,3348,4091,,,,
2020-04-27,South Carolina,5490,2361,3020,,,,
2020-04-27,South Dakota,2212,1167,1045,,,,
2020-04-27,Tennessee,9667,4928,4436,,,,
2020-04-27,Texas,24631,12143,11675,,,,
2020-04-27,US Virgin Island,57,22,35,,,,
2020-04-27,Utah,4123,2211,1899,,,,
2020-04-27,Vermont,851,404,447,,,,
2020-04-27,Virginia,12970,6168,6708,,,,
2020-04-27,Washington,13521,6220,7031,,,,
2020-04-27,West Virginia,1053,424,625,,,,
2020-04-27,Wisconsin,5911,2837,3074,,,,
2020-04-27,Wyoming,370,181,181,,,,
2020-05-04,Alabama,7888,3202,4561,,,,
2020-05-04,Alaska,368,170,171,,,,
2020-05-04,Arizona,8640,4061,4579,,,,
2020-05-04,Arkansas,3431,2065,1352,,,,
2020-05-04,California,53616,26701,26540,,,,
2020-05-04,Colorado,16635,7957,8477,,,,
2020-05-04,Connecticut,29287,13167,15862,,,,
2020-05-04,Delaware,5208,2375,2810,,,,
2020-05-04,District of Columbia,4658,2384,2266,,,,
2020-05-04,Florida,36078,17525,17598,,,,
2020-05-04,Georgia,28942,0,0,,,,
2020-05-04,Hawaii,620,0,0,,,,
