Date,State,tot_cases,new_cases
2020-01-23,AK,0,0
2020-01-30,AK,0,0
2020-02-06,AK,0,0
2020-02-13,AK,0,0
2020-02-20,AK,0,0
2020-02-27,AK,0,0
2020-03-05,AK,0,0
2020-03-12,AK,0,0
2020-03-19,AK,11,11
2020-03-26,AK,63,52
2020-04-02,AK,149,86
2020-04-09,AK,235,86
2020-04-16,AK,300,65
2020-04-23,AK,337,37
2020-04-30,AK,355,18
2020-05-07,AK,374,19
2020-05-14,AK,389,15
2020-05-21,AK,404,15
2020-05-28,AK,427,23
2020-06-04,AK,518,91
2020-06-11,AK,616,98
2020-06-18,AK,713,97
2020-06-25,AK,821,108
2020-07-02,AK,"1,020",199
2020-07-09,AK,"1,273",253
2020-07-16,AK,"1,694",421
2020-07-23,AK,"2,202",508
2020-07-30,AK,"2,886",684
2020-08-06,AK,"3,487",601
2020-08-13,AK,"3,978",491
2020-08-20,AK,"4,536",558
2020-08-27,AK,"5,001",465
2020-09-03,AK,"5,475",474
2020-09-10,AK,"6,022",547
2020-09-17,AK,"6,551",529
2020-09-24,AK,"7,193",642
2020-10-01,AK,"8,026",833
2020-10-08,AK,"9,046","1,020"
2020-10-15,AK,"10,387","1,341"
2020-10-22,AK,"11,925","1,538"
2020-10-29,AK,"14,539","2,614"
2020-11-05,AK,"17,266","2,727"
2020-11-12,AK,"20,864","3,598"
2020-11-19,AK,"25,180","4,316"
2020-11-26,AK,"29,292","4,112"
2020-12-03,AK,"33,816","4,524"
2020-12-10,AK,"38,438","4,622"
2020-12-17,AK,"41,855","3,417"
2020-12-24,AK,"44,078","2,223"
2020-12-31,AK,"45,802","1,724"
2021-01-07,AK,"47,828","2,026"
2021-01-14,AK,"49,801","1,973"
2021-01-21,AK,"51,178","1,377"
2021-01-28,AK,"52,359","1,181"
2021-02-04,AK,"53,305",946
2021-02-11,AK,"54,294",989
2021-02-18,AK,"55,101",807
2021-02-25,AK,"55,986",885
2021-03-04,AK,"56,862",876
2021-03-11,AK,"57,772",910
2021-03-18,AK,"58,686",914
2021-03-25,AK,"59,630",944
2021-04-01,AK,"60,816","1,186"
2021-04-08,AK,"62,024","1,208"
2021-04-15,AK,"63,137","1,113"
2021-04-22,AK,"64,283","1,146"
2021-04-29,AK,"65,325","1,042"
2021-05-06,AK,"66,056",731
2021-05-13,AK,"66,621",565
2021-05-20,AK,"67,074",453
2021-05-27,AK,"67,371",297
2021-06-03,AK,"67,601",230
2021-06-10,AK,"67,786",185
2021-06-17,AK,"67,941",155
2021-06-24,AK,"68,178",237
2021-07-01,AK,"68,435",257
2021-07-08,AK,"68,748",313
2021-07-15,AK,"69,320",572
2021-07-22,AK,"70,519","1,199"
2021-07-29,AK,"72,065","1,546"
2021-08-05,AK,"73,957","1,892"
2021-08-12,AK,"76,069","2,112"
2021-08-19,AK,"79,070","3,001"
2021-08-26,AK,"82,427","3,357"
2021-09-02,AK,"86,078","3,651"
2021-09-09,AK,"90,342","4,264"
2021-09-16,AK,"95,229","4,887"
2021-09-23,AK,"101,487","6,258"
2021-09-30,AK,"109,923","8,436"
2021-10-07,AK,"115,667","5,744"
2021-10-14,AK,"121,844","6,177"
2021-10-21,AK,"127,374","5,530"
2021-10-28,AK,"131,999","4,625"
2021-11-04,AK,"136,133","4,134"
2021-11-11,AK,"139,524","3,391"
2021-11-18,AK,"142,443","2,919"
2021-11-25,AK,"144,792","2,349"
2021-12-02,AK,"146,508","1,716"
2021-12-09,AK,"148,018","1,510"
2021-12-16,AK,"149,237","1,219"
2021-12-23,AK,"150,283","1,046"
2021-12-30,AK,"152,363","2,080"
2022-01-06,AK,"157,886","5,523"
2022-01-13,AK,"170,052","12,166"
2022-01-20,AK,"185,787","15,735"
2022-01-27,AK,"202,626","16,839"
2022-02-03,AK,"216,048","13,422"
2022-02-10,AK,"224,165","8,117"
2022-02-17,AK,"228,123","3,958"
2022-02-24,AK,"230,807","2,684"
2022-03-03,AK,"232,898","2,091"
2022-03-10,AK,"235,338","2,440"
2022-03-17,AK,"236,745","1,407"
2022-03-24,AK,"238,168","1,423"
2022-03-31,AK,"239,613","1,445"
2022-04-07,AK,"240,990","1,377"
2022-04-14,AK,"242,227","1,237"
2022-04-21,AK,"243,740","1,513"
2022-04-28,AK,"245,165","1,425"
2022-05-05,AK,"246,582","1,417"
2022-05-12,AK,"248,121","1,539"
2022-05-19,AK,"249,818","1,697"
2022-05-26,AK,"251,699","1,881"
2022-06-02,AK,"253,643","1,944"
2022-06-09,AK,"255,700","2,057"
2022-06-16,AK,"257,682","1,982"
2022-06-23,AK,"259,819","2,137"
2022-06-30,AK,"262,585","2,766"
2022-07-07,AK,"264,573","1,988"
2022-07-14,AK,"266,706","2,133"
2022-07-21,AK,"269,051","2,345"
2022-07-28,AK,"271,101","2,050"
2022-08-04,AK,"273,674","2,573"
2022-08-11,AK,"275,542","1,868"
2022-08-18,AK,"277,007","1,465"
2022-08-25,AK,"278,680","1,673"
2022-09-01,AK,"279,888","1,208"
2022-09-08,AK,"280,767",879
2022-09-15,AK,"281,717",950
2022-09-22,AK,"282,361",644
2022-09-29,AK,"282,911",550
2022-10-06,AK,"283,548",637
2022-10-13,AK,"284,059",511
2022-10-20,AK,"284,406",347
2022-10-27,AK,"284,785",379
2022-11-03,AK,"285,144",359
2022-11-10,AK,"285,343",199
2022-11-17,AK,"285,733",390
2020-01-23,AL,0,0
2020-01-30,AL,0,0
2020-02-06,AL,0,0
2020-02-13,AL,0,0
2020-02-20,AL,0,0
2020-02-27,AL,0,0
2020-03-05,AL,0,0
2020-03-12,AL,3,3
2020-03-19,AL,61,58
2020-03-26,AL,472,411
2020-04-02,AL,"1,175",703
2020-04-09,AL,"2,614","1,439"
2020-04-16,AL,"4,307","1,693"
2020-04-23,AL,"5,692","1,385"
2020-04-30,AL,"6,979","1,287"
2020-05-07,AL,"8,769","1,790"
2020-05-14,AL,"10,822","2,053"
2020-05-21,AL,"13,186","2,364"
2020-05-28,AL,"16,263","3,077"
2020-06-04,AL,"18,954","2,691"
2020-06-11,AL,"22,659","3,705"
2020-06-18,AL,"27,941","5,282"
2020-06-25,AL,"32,878","4,937"
2020-07-02,AL,"39,647","6,769"
2020-07-09,AL,"48,149","8,502"
2020-07-16,AL,"60,194","12,045"
2020-07-23,AL,"72,594","12,400"
2020-07-30,AL,"84,652","12,058"
2020-08-06,AL,"95,323","10,671"
2020-08-13,AL,"104,219","8,896"
2020-08-20,AL,"111,696","7,477"
2020-08-27,AL,"119,904","8,208"
2020-09-03,AL,"128,240","8,336"
2020-09-10,AL,"134,061","5,821"
2020-09-17,AL,"140,423","6,362"
2020-09-24,AL,"146,897","6,474"
2020-10-01,AL,"154,772","7,875"
2020-10-08,AL,"161,085","6,313"
2020-10-15,AL,"168,620","7,535"
2020-10-22,AL,"176,605","7,985"
2020-10-29,AL,"188,775","12,170"
2020-11-05,AL,"198,927","10,152"
2020-11-12,AL,"208,637","9,710"
2020-11-19,AL,"223,488","14,851"
2020-11-26,AL,"239,318","15,830"
2020-12-03,AL,"256,828","17,510"
2020-12-10,AL,"280,187","23,359"
2020-12-17,AL,"305,640","25,453"
2020-12-24,AL,"334,569","28,929"
2020-12-31,AL,"356,820","22,251"
2021-01-07,AL,"384,185","27,365"
2021-01-14,AL,"410,996","26,811"
2021-01-21,AL,"429,655","18,659"
2021-01-28,AL,"449,087","19,432"
2021-02-04,AL,"465,061","15,974"
2021-02-11,AL,"476,015","10,954"
2021-02-18,AL,"483,177","7,162"
2021-02-25,AL,"490,165","6,988"
2021-03-04,AL,"497,144","6,979"
2021-03-11,AL,"501,400","4,256"
2021-03-18,AL,"509,465","8,065"
2021-03-25,AL,"512,669","3,204"
2021-04-01,AL,"515,353","2,684"
2021-04-08,AL,"517,448","2,095"
2021-04-15,AL,"520,759","3,311"
2021-04-22,AL,"524,305","3,546"
2021-04-29,AL,"527,085","2,780"
2021-05-06,AL,"529,459","2,374"
2021-05-13,AL,"531,748","2,289"
2021-05-20,AL,"540,890","9,142"
2021-05-27,AL,"542,828","1,938"
2021-06-03,AL,"544,588","1,760"
