Date,State,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
2021-03-07,AK,305,127,9,0,29,111,17,4,1,7,13,280,12
2021-03-07,AL,10148,4730,2223,0,24,0,0,0,300,2871,137,6083,3928
2021-03-07,AR,5319,4171,784,0,36,18,56,13,203,38,186,5133,0
2021-03-07,AS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AZ,16328,8066,433,4684,220,1361,0,0,465,1099,4684,10545,1099
2021-03-07,CA,54124,16586,3275,24402,6105,184,322,693,1103,1454,24402,28268,1454
2021-03-07,CO,5986,3869,191,1204,115,37,9,186,38,337,1204,4445,337
2021-03-07,CT,7704,5413,906,782,83,3,0,353,38,126,782,6796,126
2021-03-07,DC,1030,105,773,119,14,0,0,0,0,19,119,892,19
2021-03-07,DE,1473,1036,329,80,11,0,0,0,15,2,80,1391,2
2021-03-07,FL,32266,17316,4812,7325,0,0,0,0,1427,1386,7325,22180,2761
2021-03-07,GA,17906,8939,5282,852,298,10,10,0,78,2437,852,14534,2520
2021-03-07,GU,133,3,0,0,33,0,79,0,4,14,0,0,133
2021-03-07,HI,445,40,4,0,244,0,137,0,6,14,0,0,445
2021-03-07,IA,5558,5154,134,0,61,19,16,0,47,127,138,5420,0
2021-03-07,ID,1879,1761,9,0,17,35,0,0,41,16,186,1682,11
2021-03-07,IL,23014,12202,3668,3291,737,26,20,0,120,2950,3291,16773,2950
2021-03-07,IN,12737,9096,939,0,70,0,0,0,1591,1041,275,6823,5639
2021-03-07,KS,4812,3721,235,0,64,38,0,0,245,509,310,3795,707
2021-03-07,KY,4819,3981,371,0,23,4,2,118,0,320,73,4219,527
2021-03-07,LA,9748,5798,3723,0,75,15,13,0,39,85,238,8966,544
2021-03-07,MA,16417,12022,1069,1289,414,11,5,0,1373,234,1289,14894,234
2021-03-07,MD,7955,4078,2736,727,277,0,0,0,80,57,727,7171,57
2021-03-07,ME,706,602,10,0,3,5,0,1,6,79,6,491,209
2021-03-07,MI,16658,11205,3634,0,179,79,0,270,425,866,480,13206,2972
2021-03-07,MN,6550,5440,319,203,259,90,6,101,23,109,203,6238,109
2021-03-07,MO,8161,5162,1069,0,67,12,1,0,1295,555,170,6395,1596
2021-03-07,MP,2,0,0,0,0,0,0,0,0,2,0,0,0
2021-03-07,MS,6808,3670,2671,60,18,114,0,0,103,172,60,5599,1149
2021-03-07,MT,1381,856,1,0,1,205,1,0,121,196,25,905,451
2021-03-07,NC,11502,7160,2662,0,120,126,0,0,716,718,803,8916,1783
2021-03-07,ND,1478,0,0,0,0,0,0,0,0,1478,0,0,1478
2021-03-07,NE,2091,1360,58,0,30,26,1,0,26,590,161,1095,835
2021-03-07,NH,1184,1110,13,30,12,1,0,2,12,4,30,1150,4
2021-03-07,NJ,23574,12932,3743,4338,1178,0,0,0,912,471,4338,18765,471
2021-03-07,NM,3808,1097,49,1471,27,1064,0,0,0,100,1471,2237,100
2021-03-07,NV,5037,2719,468,1203,594,45,0,0,5,3,1203,3831,3
2021-03-07,NY,48591,17007,9812,9968,3011,0,0,0,2834,5959,9968,32664,5959
2021-03-07,OH,17656,15026,2157,0,139,16,3,26,129,160,302,17199,155
2021-03-07,OK,4534,3255,271,0,57,399,0,0,119,433,232,3635,667
2021-03-07,OR,2296,1531,46,0,58,41,20,47,183,370,211,1475,610
2021-03-07,PA,24349,19497,2829,0,379,0,0,0,1,1643,982,23280,87
2021-03-07,PR,2059,0,0,0,0,0,0,0,0,2059,0,0,0
2021-03-07,RI,2541,1816,104,207,37,1,0,1,1,374,207,1960,374
2021-03-07,SC,8754,4727,2408,0,54,0,0,0,389,1176,211,6437,2106
2021-03-07,SD,1900,1499,7,23,16,265,0,0,14,76,23,1801,76
2021-03-07,TN,11547,8730,1994,0,67,9,6,0,385,356,303,10314,930
2021-03-07,TX,44451,18276,4252,20453,898,0,0,0,231,341,20453,23657,341
2021-03-07,UT,1976,1329,18,282,59,72,57,0,119,119,282,1575,119
2021-03-07,VA,9596,6002,2262,640,337,24,0,62,66,203,640,8753,203
2021-03-07,VI,25,0,0,0,0,0,0,0,0,25,0,0,25
2021-03-07,VT,208,185,2,0,5,1,0,0,2,13,0,179,29
2021-03-07,WA,5041,3571,161,596,383,107,81,59,71,12,596,4433,12
2021-03-07,WI,7106,6144,478,0,127,97,0,0,106,154,389,6404,313
2021-03-07,WV,2325,2049,57,0,0,0,0,0,34,185,0,0,2325
2021-03-07,WY,682,606,2,58,6,51,1,0,8,11,58,613,11
2021-03-03,AK,303,126,9,0,29,111,17,4,1,6,12,280,11
2021-03-03,AL,10029,4674,2193,0,24,0,0,0,298,2840,135,6002,3892
2021-03-03,AR,5261,4126,778,0,36,18,56,13,200,34,178,5083,0
2021-03-03,AS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AZ,16089,7917,423,4619,217,1341,0,0,460,1112,4619,10358,1112
2021-03-03,CA,52775,16205,3209,23768,5958,173,311,658,1092,1401,23768,27606,1401
2021-03-03,CO,5970,3851,192,1205,114,37,9,184,38,340,1205,4425,340
2021-03-03,CT,7678,5397,902,778,83,3,0,350,39,126,778,6774,126
2021-03-03,DC,1023,105,766,119,14,0,0,0,0,19,119,885,19
2021-03-03,DE,1440,1010,325,77,11,0,0,0,15,2,77,1361,2
2021-03-03,FL,31829,17074,4751,7222,0,0,0,0,1425,1357,7222,21882,2725
2021-03-03,GA,17625,8804,5191,842,293,10,9,0,76,2400,842,14301,2482
2021-03-03,GU,131,3,0,0,33,0,77,0,4,14,0,0,131
2021-03-03,HI,441,40,4,0,244,0,137,0,6,10,0,0,441
2021-03-03,IA,5501,5103,133,0,61,18,16,0,45,125,137,5364,0
