Date,State,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown
2021-03-07,AK,1293,423,45,0,116,336,126,67,54,126,66,939,288
2021-03-07,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AR,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AZ,57907,26710,2479,18730,1015,4496,0,0,2562,1915,18730,37262,1915
2021-03-07,CA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,CO,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,CT,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,DC,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,DE,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,FL,82237,38131,16138,20583,0,0,0,0,4284,3101,20583,56406,5248
2021-03-07,GA,56797,24335,22046,6155,1029,20,69,0,1076,2067,6155,46118,4524
2021-03-07,GU,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,HI,2226,151,15,0,521,0,660,0,38,841,0,0,841
2021-03-07,IA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,ID,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,IL,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,IN,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,KS,9387,7118,752,0,173,67,0,0,623,654,1350,7167,870
2021-03-07,KY,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,LA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MA,19713,10414,1900,3041,709,10,7,0,1957,1675,3041,14997,1675
2021-03-07,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,ME,1570,1359,63,0,22,7,0,3,30,86,22,1354,194
2021-03-07,MI,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MN,25978,16798,3007,2202,1470,457,31,665,237,1111,2202,22665,1111
2021-03-07,MO,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MP,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MT,4630,2233,23,0,0,453,0,0,0,1921,0,0,0
2021-03-07,NC,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,ND,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,NE,6147,4318,304,0,133,93,12,0,174,1113,1064,3538,1545
2021-03-07,NH,1131,865,38,99,40,0,0,0,25,64,99,968,64
2021-03-07,NJ,64396,26086,11312,15832,2843,0,0,0,4241,4082,15832,44482,4082
2021-03-07,NM,13252,2460,141,4885,118,3966,24,0,177,1481,4885,6886,1481
2021-03-07,NV,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,NY,89995,21649,23650,28494,8213,0,0,0,0,7989,28494,53512,7989
2021-03-07,OH,50881,35458,9272,0,631,65,55,1691,1290,2419,1710,42785,6386
2021-03-07,OK,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,OR,8714,5270,273,0,311,220,146,160,1585,749,1765,5410,1539
2021-03-07,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,PR,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,RI,9020,4280,593,1886,167,20,0,39,203,1832,1886,5302,1832
2021-03-07,SC,20725,10646,7383,0,166,0,0,0,1166,1364,998,16674,3053
2021-03-07,SD,6705,4785,134,170,72,1305,0,0,71,168,170,6367,168
2021-03-07,TN,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,TX,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,UT,14891,9312,246,3268,349,459,765,0,1114,360,3268,11263,360
2021-03-07,VA,24661,10858,6760,4376,1087,36,0,194,494,856,4376,19429,856
2021-03-07,VI,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,VT,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,WA,19599,6056,623,2621,871,236,355,239,220,8378,2621,8600,8378
2021-03-07,WI,26457,18668,3023,2491,563,410,0,0,312,990,2491,22976,990
2021-03-07,WV,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,WY,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AK,1285,418,45,0,116,335,126,67,53,125,66,935,284
2021-03-03,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AR,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AZ,57697,26575,2466,18695,1007,4474,0,0,2551,1929,18695,37073,1929
2021-03-03,CA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,CO,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,CT,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,DC,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,DE,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,FL,81278,37666,15963,20341,0,0,0,0,4245,3063,20341,55748,5189
2021-03-03,GA,56369,24083,21868,6126,1016,20,65,0,1063,2128,6126,45708,4535
2021-03-03,GU,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,HI,2226,151,15,0,521,0,660,0,38,841,0,0,841
2021-03-03,IA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,ID,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,IL,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,IN,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,KS,9355,7092,749,0,173,67,0,0,621,653,1345,7142,868
2021-03-03,KY,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,LA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MA,19713,10414,1900,3041,709,10,7,0,1957,1675,3041,14997,1675
2021-03-03,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,ME,1545,1339,63,0,22,7,0,3,30,81,22,1335,188
2021-03-03,MI,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MN,25863,16604,2982,2173,1442,454,30,664,238,1276,2173,22414,1276
2021-03-03,MO,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MP,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MT,4600,2233,23,0,0,453,0,0,0,1891,0,0,0
2021-03-03,NC,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,ND,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,NE,6147,4318,304,0,133,93,12,0,174,1113,1064,3538,1545
2021-03-03,NH,1123,847,38,97,40,0,0,0,23,78,97,948,78
2021-03-03,NJ,64050,25919,11259,15734,2832,0,0,0,4217,4089,15734,44227,4089
2021-03-03,NM,13190,2460,141,4885,118,3966,24,0,177,1419,4885,6886,1419
2021-03-03,NV,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,NY,89995,21344,23320,28094,8053,0,0,0,0,9184,28094,52717,9184
2021-03-03,OH,50613,35203,9231,0,629,65,54,1686,1289,2456,1701,42405,6507
2021-03-03,OK,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,OR,8682,5249,271,0,310,220,147,160,1585,740,1766,5382,1534
2021-03-03,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,PR,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,RI,8982,4280,593,1886,167,20,0,39,203,1794,1886,5302,1794
2021-03-03,SC,20488,10515,7309,0,164,0,0,0,1155,1345,987,16472,3029
2021-03-03,SD,6654,4748,134,168,70,1295,0,0,70,169,168,6317,169
2021-03-03,TN,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,TX,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,UT,14783,9312,246,3268,349,459,765,0,1114,360,3268,11155,360
2021-03-03,VA,24354,10687,6668,4349,1083,33,0,193,486,855,4349,19150,855
2021-03-03,VI,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,VT,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,WA,19466,6008,621,2609,864,234,353,237,219,8321,2609,8536,8321
2021-03-03,WI,26279,18527,3012,2478,561,408,0,0,310,983,2478,22818,983
2021-03-03,WV,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,WY,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,AK,1277,415,45,0,117,331,125,67,52,125,66,927,284
2021-02-28,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,AR,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,AS,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,AZ,57599,26542,2460,18646,1006,4468,0,0,2548,1929,18646,37024,1929
2021-02-28,CA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,CO,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,CT,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,DC,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,DE,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,FL,80572,37347,15827,20180,0,0,0,0,4199,3019,20180,55252,5140
2021-02-28,GA,56039,23907,21732,6096,1009,20,63,0,1060,2152,6096,45403,4540
2021-02-28,GU,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,HI,2214,149,14,0,514,0,649,0,35,853,0,0,853
2021-02-28,IA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,ID,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,IL,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,IN,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,KS,9249,7006,740,0,171,67,0,0,617,648,1336,7054,859
2021-02-28,KY,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,LA,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,MA,19444,10270,1890,2988,700,10,7,0,1898,1681,2988,14775,1681
2021-02-28,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,ME,1527,1339,63,0,22,7,0,3,30,63,22,1335,170
