Date,Total,Men20+,Women20+,Yrs_16_19,White,Black,Asian,Hispanic
Jan-18,4,3.7,3.6,13.7,3.5,7.5,2.9,4.9
Feb-18,4.1,3.6,3.8,14.3,3.6,6.8,3,4.9
Mar-18,4,3.6,3.7,13.1,3.5,6.7,3,4.9
Apr-18,4,3.7,3.6,12.6,3.6,6.3,2.9,4.7
May-18,3.8,3.6,3.4,12.9,3.5,5.9,2.2,4.8
Jun-18,4,3.7,3.6,12.7,3.5,6.4,3.3,4.6
Jul-18,3.8,3.4,3.6,13.1,3.4,6.5,3,4.5
Aug-18,3.8,3.5,3.5,12.7,3.5,6.3,2.9,4.7
Sep-18,3.7,3.5,3.3,12.4,3.3,6.1,3.5,4.6
Oct-18,3.8,3.6,3.4,12.1,3.4,6.5,3.2,4.4
Nov-18,3.8,3.4,3.5,12.4,3.4,6.1,2.9,4.7
Dec-18,3.9,3.6,3.5,12.6,3.4,6.7,3.4,4.5
Jan-19,4,3.7,3.6,12.9,3.5,7,3,4.7
Feb-19,3.8,3.4,3.4,13.7,3.2,7.1,3.1,4.3
Mar-19,3.8,3.5,3.4,12.4,3.3,6.5,3,4.5
Apr-19,3.6,3.4,3.2,12.7,3.2,6.5,2.3,4.1
May-19,3.6,3.3,3.3,12.8,3.3,6.1,2.5,4.2
Jun-19,3.6,3.3,3.3,12.7,3.3,5.8,2.1,4.3
Jul-19,3.7,3.3,3.3,12.9,3.3,5.8,2.7,4.4
Aug-19,3.7,3.4,3.3,12.5,3.5,5.4,2.8,4.2
Sep-19,3.5,3.3,3.1,12.2,3.2,5.4,2.5,4
Oct-19,3.6,3.4,3.2,12.2,3.3,5.6,2.9,4.2
Nov-19,3.6,3.3,3.3,12.1,3.2,5.6,2.7,4.3
Dec-19,3.6,3.2,3.3,12.5,3.2,6,2.7,4.3
Jan-20,3.5,3.2,3.2,12.2,3.1,6.3,3,4.3
Feb-20,3.5,3.2,3.1,11.3,3,6,2.5,4.4
Mar-20,4.4,4.1,4,14,3.9,6.8,4.1,5.9
Apr-20,14.7,13,15.4,32.6,14.1,16.6,14.4,18.8
May-20,13.2,11.5,13.8,30.5,12.3,16.8,14.8,17.6
Jun-20,11,10.1,11.2,22.5,10,15.2,13.8,14.5
Jul-20,10.2,9.3,10.4,19.3,9.2,14.4,11.9,12.8
Aug-20,8.4,7.9,8.3,16.5,7.4,12.8,10.6,10.6
Sep-20,7.9,7.4,7.8,16.1,7,12.1,8.9,10.4
Oct-20,6.9,6.7,6.5,13.9,6,10.9,7.6,8.9
Nov-20,6.7,6.7,6.2,13.8,6,10.4,6.8,8.6
Dec-20,6.7,6.4,6.3,15.8,6.1,10,6.1,9.4
Jan-21,6.4,6.1,6,14.6,5.7,9.2,6.6,8.6
Feb-21,6.2,6,5.9,13.9,5.5,9.8,5.1,8.4
Mar-21,6,5.8,5.7,12.7,5.3,9.5,5.9,7.7
Apr-21,6,6,5.6,11.6,5.3,9.7,5.7,7.7
May-21,5.8,5.8,5.3,9.6,5.1,9.1,5.5,7.1
Jun-21,5.9,5.9,5.5,11.3,5.3,9.2,5.7,7.2
Jul-21,5.4,5.3,5,10.7,4.8,8.2,5.2,6.4
Aug-21,5.2,5.1,4.8,11.3,4.5,8.7,4.5,6.2
Sep-21,4.7,4.7,4.3,11.3,4.2,7.8,4.2,6.1
Oct-21,4.6,4.3,4.3,11.7,3.9,7.8,4.2,5.7
Nov-21,4.2,3.9,3.9,10.9,3.7,6.5,3.9,5.2
Dec-21,3.9,3.6,3.6,10.9,3.2,7.1,3.8,4.9
Jan-22,4,3.8,3.6,10.9,3.4,6.9,3.6,4.9
Feb-22,3.8,3.5,3.6,10.3,3.3,6.6,3.1,4.4
Mar-22,3.6,3.4,3.3,10,3.2,6.2,2.8,4.2
Apr-22,3.6,3.5,3.2,10.2,3.2,5.9,3.1,4.1
May-22,3.6,3.4,3.4,10.4,3.2,6.2,2.4,4.3
Jun-22,3.6,3.3,3.3,11,3.3,5.8,3,4.3
Jul-22,3.5,3.2,3.1,11.5,3.1,6,2.6,3.9
Aug-22,3.7,3.5,3.3,10.4,3.2,6.4,2.8,4.5
Sep-22,3.5,3.3,3.1,11.4,3.1,5.8,2.5,3.8
Oct-22,3.7,3.3,3.4,11,3.2,5.9,2.9,4.2
